country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Macedonia,106,27,86,3.9
Timor-leste,1,1,4,0.1
Togo,36,2,19,1.3
Tonga,36,21,5,1.1
Trinidad & Tobago,197,156,7,6.4
Tunisia,51,3,20,1.3
Turkey,51,22,7,1.4
Turkmenistan,19,71,32,2.2
Tuvalu,6,41,9,1.0
Uganda,45,9,0,8.3
Ukraine,206,237,45,8.9
United arab emirates,16,135,5,2.8
United kingdom,219,126,195,10.4
Tanzania,36,6,1,5.7
Usa,249,158,84,8.7
Uruguay,115,35,220,6.6
Uzbekistan,25,101,8,2.4
Vanuatu,21,18,11,0.9
Venezuela,333,100,3,7.7
Vietnam,111,2,1,2.0
Yemen,6,0,0,0.1
Zambia,32,19,4,2.5
Zimbabwe,64,18,4,4.7
